COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;
FR;1;FRM;Corse;http://www.wikidata.org/entity/Q14112;Point(9.083333333 42.15);https://linkedopendata.eu/entity/Q3528
FR;2;FRY1;Guadeloupe;http://www.wikidata.org/entity/Q17012;POINT(16.0 62.0);https://linkedopendata.eu/entity/Q2577038
FR;2;FRY2;Martinique ;http://www.wikidata.org/entity/Q17054;Point(-61.0 14.666666666);https://linkedopendata.eu/entity/Q198
FR;2;FRY3;Guyane;http://www.wikidata.org/entity/Q3769;Point(-52.99994 3.99886);https://linkedopendata.eu/entity/Q201
FR;2;FRY4;La Réunion ;http://www.wikidata.org/entity/Q17070;Point(55.5325 -21.114444444);https://linkedopendata.eu/entity/Q206
FR;2;FRY5;Mayotte;http://www.wikidata.org/entity/Q17063;Point(45.138333333 -12.843055555);https://linkedopendata.eu/entity/Q2576961
IE;3;IE041;Border;http://www.wikidata.org/entity/Q4944607;Point(-7.357444444 53.963472222);https://linkedopendata.eu/entity/Q2501480
IE;3;IE042;West;http://www.wikidata.org/entity/Q7986331;Point(-8.9570134 53.669328);https://linkedopendata.eu/entity/Q2501419
IE;3;IE051;Mid-West ;http://www.wikidata.org/entity/Q6840838;Point(-8.4394373 52.5768684);https://linkedopendata.eu/entity/Q2501296
IE;3;IE052;South-East ;http://www.wikidata.org/entity/Q7565274;Point(-7.328611111 52.463055555);https://linkedopendata.eu/entity/Q2501302
IE;3;IE053;South-West ;http://www.wikidata.org/entity/Q7565299;Point(-9.0639437 52.0604906);https://linkedopendata.eu/entity/Q2501351
IE;3;IE061;Dublin;http://www.wikidata.org/entity/Q5310956;Point(-6.265833333 53.3425);https://linkedopendata.eu/entity/Q2473402
IE;3;IE062;Mid-East;http://www.wikidata.org/entity/Q6840712;Point(-6.75 53.166666666);https://linkedopendata.eu/entity/Q2501420
IE;3;IE063;Midland;http://www.wikidata.org/entity/Q1345331;Point(-7.9425 53.423611111);https://linkedopendata.eu/entity/Q2501313
IT;2;ITC1;Piemonte;http://www.wikidata.org/entity/Q1216;Point(7.9166666666667 45.25);https://linkedopendata.eu/entity/Q2461
IT;2;ITC2;Valle d'Aosta/Vallée d'Aoste;http://www.wikidata.org/entity/Q1222;Point(7.3666666666667 45.716666666667);https://linkedopendata.eu/entity/Q2468
IT;2;ITC3;Liguria;http://www.wikidata.org/entity/Q1256;Point(8.7666666666667 44.45);https://linkedopendata.eu/entity/Q2457
IT;2;ITC4;Lombardia;http://www.wikidata.org/entity/Q1210;Point(9.95 45.65);https://linkedopendata.eu/entity/Q260631
IT;2;ITF1;Abruzzo;http://www.wikidata.org/entity/Q1284;Point(13.833333333333 42.216666666667);https://linkedopendata.eu/entity/Q2449
IT;2;ITF2;Molise;http://www.wikidata.org/entity/Q1443;Point(14.6111 41.6997);https://linkedopendata.eu/entity/Q270535
IT;2;ITF3;Campania;http://www.wikidata.org/entity/Q1438;Point(14.783333333333 40.75);https://linkedopendata.eu/entity/Q278314
IT;2;ITF4;Puglia;http://www.wikidata.org/entity/Q1447;Point(16.512777777778 41.008611111111);https://linkedopendata.eu/entity/Q257406
IT;2;ITF5;Basilicata;http://www.wikidata.org/entity/Q1452;Point(16.5 40.5);https://linkedopendata.eu/entity/Q252896
IT;2;ITF6;Calabria;http://www.wikidata.org/entity/Q1458;Point(16.5 39);https://linkedopendata.eu/entity/Q275925
IT;2;ITG1;Sicilia;http://www.wikidata.org/entity/Q1460;Point(14.015377777778 37.599958333333);https://linkedopendata.eu/entity/Q2464
IT;2;ITG2;Sardegna;http://www.wikidata.org/entity/Q1462;Point(9.0833333333333 40.05);https://linkedopendata.eu/entity/Q2463
IT;2;ITH1;Provincia Autonoma di Bolzano/Bozen;http://www.wikidata.org/entity/Q15124;Point(11.33333334 46.50000001);https://linkedopendata.eu/entity/Q2501140
