;COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;URL
43;IE;3;IE062;Mid-East;http://www.wikidata.org/entity/Q6840712;Point(-6.75 53.166666666);https://linkedopendata.eu/entity/Q2501420
44;IE;3;IE063;Midland;http://www.wikidata.org/entity/Q1345331;Point(-7.9425 53.423611111);https://linkedopendata.eu/entity/Q2501313
45;IT;2;ITC1;Piemonte;http://www.wikidata.org/entity/Q1216;Point(7.9166666666667 45.25);https://linkedopendata.eu/entity/Q2461
46;IT;2;ITC2;Valle d'Aosta/Vallée d'Aoste;http://www.wikidata.org/entity/Q1222;Point(7.3666666666667 45.716666666667);https://linkedopendata.eu/entity/Q2468
47;IT;2;ITC3;Liguria;http://www.wikidata.org/entity/Q1256;Point(8.7666666666667 44.45);https://linkedopendata.eu/entity/Q2457
48;IT;2;ITC4;Lombardia;http://www.wikidata.org/entity/Q1210;Point(9.95 45.65);https://linkedopendata.eu/entity/Q2458
49;IT;2;ITF1;Abruzzo;http://www.wikidata.org/entity/Q1284;Point(13.833333333333 42.216666666667);https://linkedopendata.eu/entity/Q2449
50;IT;2;ITF2;Molise;http://www.wikidata.org/entity/Q1443;Point(14.6111 41.6997);https://linkedopendata.eu/entity/Q2460
51;IT;2;ITF3;Campania;http://www.wikidata.org/entity/Q1438;Point(14.783333333333 40.75);https://linkedopendata.eu/entity/Q2453
52;IT;2;ITF4;Puglia;http://www.wikidata.org/entity/Q1447;Point(16.512777777778 41.008611111111);https://linkedopendata.eu/entity/Q2462
53;IT;2;ITF5;Basilicata;http://www.wikidata.org/entity/Q1452;Point(16.5 40.5);https://linkedopendata.eu/entity/Q2451
54;IT;2;ITF6;Calabria;http://www.wikidata.org/entity/Q1458;Point(16.5 39);https://linkedopendata.eu/entity/Q2452
55;IT;2;ITG1;Sicilia;http://www.wikidata.org/entity/Q1460;Point(14.015377777778 37.599958333333);https://linkedopendata.eu/entity/Q2464
56;IT;2;ITG2;Sardegna;http://www.wikidata.org/entity/Q1462;Point(9.0833333333333 40.05);https://linkedopendata.eu/entity/Q2463
57;IT;2;ITH1;Provincia Autonoma di Bolzano/Bozen;http://www.wikidata.org/entity/Q15124;Point(11.33333334 46.50000001);https://linkedopendata.eu/entity/Q2501140
58;IT;2;ITH2;Provincia Autonoma di Trento;http://www.wikidata.org/entity/Q16289;Point(11.173055555556 46.445555555556);https://linkedopendata.eu/entity/Q252821
